Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6E1uYKEIUmjiLFsKEYsgOe,"7nU4hB040gTmHm45YYMvqc","One In a Million","Hannah Montana 2 (Original Soundtrack)","Hannah Montana",2007-06-26,235400,51,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop",0.422,0.858,11,-4.243,1,0.0427,0.0702,0,0.345,0.411,88.7,4
5AHW6BKnfCktDaor4Kvgsm,"7nU4hB040gTmHm45YYMvqc","Life's What You Make It","Hannah Montana 2 (Original Soundtrack)","Hannah Montana",2007-06-26,188466,46,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop",0.627,0.941,0,-3.305,1,0.0508,0.0519,0,0.519,0.85,143.995,4
3qO6pjollogK4espG5x0CH,"7nU4hB040gTmHm45YYMvqc","Old Blue Jeans","Hannah Montana 2 (Original Soundtrack)","Hannah Montana",2007-06-26,202080,35,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop",0.788,0.67,9,-6.335,1,0.0893,0.154,0.00000397,0.0754,0.968,124.971,4
6KN9atd3DRhmSRWeCSKkkL,"7nU4hB040gTmHm45YYMvqc","Rock Star","Hannah Montana 2 (Original Soundtrack)","Hannah Montana",2007-06-26,178560,59,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop",0.483,0.945,2,-3.969,1,0.124,0.00437,0.00000156,0.364,0.625,160.794,4
7c223RltkvhN8wrxIqspM5,"7nU4hB040gTmHm45YYMvqc","Nobody's Perfect","Hannah Montana 2 (Original Soundtrack)","Hannah Montana",2007-06-26,200826,59,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop",0.594,0.977,10,-4.193,0,0.0647,0.0597,0.00000349,0.309,0.793,131.98,4
6J43Tl7HpwBsSFKjiIGgGo,"7nU4hB040gTmHm45YYMvqc","We Got The Party","Hannah Montana 2 (Original Soundtrack)","Hannah Montana",2007-06-26,215306,44,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop",0.517,0.964,4,-3.346,1,0.198,0.011,0,0.249,0.423,150.007,4
5qiWQq9tPjMDNpd1knSoZ0,"7nU4hB040gTmHm45YYMvqc","This Is The Life - From Hannah Montana/Soundtrack Version","Hannah Montana","Hannah Montana",2006-01-01,177253,43,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop",0.58,0.798,4,-4.286,1,0.0291,0.000427,0.00000113,0.36,0.48,141.04,4
0Q2y7Amx3vHz5Jqa7TFEYE,"7nU4hB040gTmHm45YYMvqc","The Other Side of Me - From Hannah Montana/Soundtrack Version","Hannah Montana","Hannah Montana",2006-01-01,185893,40,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop",0.629,0.889,6,-3.644,0,0.0692,0.0591,0,0.473,0.683,114.058,4
52Dw5hXeylenurLTKoFJfZ,"7nU4hB040gTmHm45YYMvqc","If We Were A Movie - From Hannah Montana/Soundtrack Version","Hannah Montana","Hannah Montana",2006-01-01,183293,54,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop",0.608,0.867,4,-4.683,1,0.0307,0.00528,0,0.0643,0.866,94.008,4
3rcXcJT6Uwg1ojuCdPRjeJ,"7nU4hB040gTmHm45YYMvqc","Pumpin' Up The Party - From Hannah Montana/Soundtrack Version","Hannah Montana","Hannah Montana",2006-01-01,189080,41,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop",0.659,0.808,2,-5.079,1,0.0869,0.00928,0.00000668,0.29,0.529,124.057,4
1qsN5cpqU6quWtL9lgyA1v,"7nU4hB040gTmHm45YYMvqc","Just Like You - From Hannah Montana/Soundtrack Version","Hannah Montana","Hannah Montana",2006-01-01,194306,44,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop",0.628,0.844,4,-3.079,1,0.0403,0.0056,0,0.117,0.653,140.962,4
7jg5JfizOZSEipnTR6d4Nt,"7nU4hB040gTmHm45YYMvqc","Who Said - From Hannah Montana/Soundtrack Version","Hannah Montana","Hannah Montana",2006-01-01,194973,47,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop",0.629,0.901,4,-3.357,1,0.0311,0.00871,0,0.0573,0.581,133.034,4
6Z0F3Mqj7tq1CBZo5qMlUg,"7nU4hB040gTmHm45YYMvqc","The Best of Both Worlds - From Hannah Montana/Soundtrack Version","Hannah Montana","Hannah Montana",2006-01-01,174120,63,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop",0.676,0.861,1,-3.645,1,0.0501,0.0512,0,0.0613,0.681,124.031,3
3bSq5OpEWmLK1o8F7saR2F,"7nU4hB040gTmHm45YYMvqc","I Got Nerve - From Hannah Montana/Soundtrack Version","Hannah Montana","Hannah Montana",2006-01-01,184226,48,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop",0.53,0.951,8,-3.555,1,0.0401,0.00216,0,0.0454,0.813,144.878,4
4EmH2iRucAgCOnhuJRotUi,"2o5jDhtHVPhrJdv3cEQ99Z","Drifting","Drifting","Tiësto",2023-06-22,147692,77,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"big room,brostep,dutch edm,edm,house,pop dance,progressive electro house,slap house,trance",0.625,0.951,9,-4.866,0,0.0393,0.0718,0.585,0.164,0.376,130.001,4
68R0zVUeMJ2C852Ov6d2Mh,"7kNqXtgeIwFtelmRjWv205,0QaSiI5TLA4N7mcsdxShDO,4dHGNdVhBxCJUyMk9dR727","Go Back (feat. Julia Church)","Go Back (feat. Julia Church)","John Summit,Sub Focus,Julia Church",2024-05-16,220538,57,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"edm,house,pop dance,uk dance,dancefloor dnb,drum and bass,melodic house",0.392,0.924,7,-1.723,0,0.0572,0.163,0.000268,0.11,0.0555,136.013,4
0ZDwhNFZnPx9EIPCcwGUHC,"3K2Srho6NCF3o9MswGR76H,57LYzLEk2LcFghVwuWbcuS","Hell N Back (feat. Summer Walker)","Hell N Back (feat. Summer Walker)","Bakar,Summer Walker",2023-09-21,195147,83,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"uk alternative hip hop,r&b,rap",0.64,0.673,5,-4.519,0,0.563,0.288,0.00000215,0.113,0.736,209.942,4
2YpeDb67231RjR0MgVLzsG,"7jVv8c5Fj3E9VhNjxT4snq,60rpJ9SgigSd16DOAG7GSa","Old Town Road - Remix","7 EP","Lil Nas X,Billy Ray Cyrus",2019-06-21,157066,75,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"lgbtq+ hip hop,country rock",0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
0F7FA14euOIX8KcbEturGH,"7jVv8c5Fj3E9VhNjxT4snq","Old Town Road","7 EP","Lil Nas X",2019-06-21,113000,74,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"lgbtq+ hip hop",0.907,0.53,1,-6.112,1,0.127,0.0578,0.00000223,0.101,0.507,135.998,4
6HHsU2AtvpnqmrItTEl0VX,"5IH6FPUwQTxPSXurCrcIov","I Sent My Therapist To Therapy","12 Notes","Alec Benjamin",2024-05-10,180923,54,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"alt z,pop,pov: indie",0.691,0.698,5,-6.201,0,0.108,0.303,0.00000739,0.412,0.631,76.005,4
3jrb2KoLLedLQs73uQpb8v,"5IH6FPUwQTxPSXurCrcIov","Different Kind Of Beautiful","12 Notes","Alec Benjamin",2024-05-10,201007,54,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"alt z,pop,pov: indie",0.522,0.427,0,-7.419,1,0.0602,0.709,0.00000385,0.135,0.644,106.043,4
1pxQVU5FAC03VzFnBtvF08,"5IH6FPUwQTxPSXurCrcIov","Pick Me","12 Notes","Alec Benjamin",2024-05-10,178707,54,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"alt z,pop,pov: indie",0.706,0.488,9,-8.536,1,0.0518,0.801,0,0.116,0.483,104.105,4
7fzHQizxTqy8wTXwlrgPQQ,"1WaFQSHVGZQJTbf0BdxdNo","MILLION DOLLAR BABY","MILLION DOLLAR BABY","Tommy Richman",2024-04-26,155151,97,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"chill abstract hip hop",0.849,0.699,1,-5.106,0,0.0436,0.0982,0.000215,0.068,0.927,138.003,4
0tFRxPQHvAUMTbWYRJUo8R,"45dkTj5sMRSjrmBSBeiHym","we're not alike","THINK LATER","Tate McRae",2023-12-08,180392,71,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"pop",0.707,0.811,8,-5.003,1,0.0338,0.0237,0.00000516,0.153,0.672,113.022,4
2NcQic8JxdjAlAHuNbOIRE,"6KImCVD70vtIoJWnq6nGn3","Keep Driving","Harry's House","Harry Styles",2022-05-20,140241,75,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"pop",0.721,0.479,9,-9.669,1,0.226,0.321,0.00156,0.182,0.902,164.948,3
0WbMK4wrZ1wFSty9F7FCgu,"7GlBOeep6PqTfFi59PTUUN","Good Luck, Babe!","Good Luck, Babe!","Chappell Roan",2024-04-05,218423,91,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"indie pop,springfield mo indie",0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
28drn6tQo95MRvO0jQEo5C,"1RyvyyTE3xzB2ZywiAwp0i,0iEtIxbK0KxaSlF7G42ZOp,0Y5tJX1MQlPlqiwlOH1tJY,699OTQXzgjhIYAHMy9RyPD","Type Shit","WE DON'T TRUST YOU","Future,Metro Boomin,Travis Scott,Playboi Carti",2024-03-22,228266,91,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"atl hip hop,hip hop,rap,southern hip hop,trap,slap house,plugg,pluggnb,rage rap",0.64,0.552,2,-5.679,1,0.129,0.0215,0,0.119,0.112,144.941,4
1sOfNRe7zyQkJj0cY6z2k8,"0xRXCcSX89eobfrshSVdyu,2FXC3k01G6Gw61bmprjgqS","Tell It To My Heart","MEDUZA","MEDUZA,Hozier",2023-10-13,165524,61,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"edm,pop dance,pop house,uk dance,irish singer-songwriter,modern rock,pov: indie",0.539,0.716,11,-6.647,0,0.0596,0.0259,0,0.609,0.483,123.858,4
3mfER4ORePHvN35cbZ3dkV,"7f5Zgnp2spUuuzKplmRkt7,6ydoSd3N2mwgwBHtF6K7eX","Where Are You Now","All Stand Together","Lost Frequencies,Calum Scott",2023-11-10,149066,81,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"belgian edm,edm,pop dance,tropical house,pop",0.762,0.632,6,-8.312,0,0.085,0.51,0.000205,0.18,0.282,121.031,4
6FWAIkMvnS0ABEdBKcIp5K,"2CpLIMBoE2ZzyY3ZBCRZ7j","Lose It All (I Don't Wanna)","Lose It All (I Don't Wanna)","BUNT.",2023-06-30,139071,62,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"stutter house",0.683,0.864,11,-7.115,0,0.0876,0.203,0.836,0.0922,0.355,140.01,4
4beKzTMCCMDizozv4Y3Shj,"4Q6nIcaBED8qUel8bBx6Cr,03d2mJXSMtuPI0nIvLnhoS","Never Be Lonely","Never Be Lonely","Jax Jones,Zoe Wees",2024-02-09,134570,76,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"dance pop,edm,house,pop dance,uk dance,uk pop,german pop",0.731,0.785,3,-4.08,0,0.0339,0.0155,0.00224,0.0567,0.85,131.988,4
7Mts0OfPorF4iwOomvfqn1,"06HL4z0CvFAxyc27GXpf02","So High School","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","Taylor Swift",2024-04-19,228800,89,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"pop",0.366,0.866,7,-4.514,1,0.0466,0.0274,0.00000307,0.106,0.293,176.07,4
1kcwpPDQnqEqmezzXdJTCP,"06HL4z0CvFAxyc27GXpf02","imgonnagetyouback","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","Taylor Swift",2024-04-19,222072,89,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"pop",0.784,0.391,9,-9.471,1,0.0633,0.608,0,0.252,0.15,110.007,4
799KrpEbhZp0MHeiA8YK9P,"06HL4z0CvFAxyc27GXpf02","Guilty as Sin?","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","Taylor Swift",2024-04-19,254365,90,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"pop",0.626,0.428,2,-8.374,1,0.0261,0.607,0,0.0921,0.487,94.95,3
2d8UxVNhJinc8uat9PoM9y,"06HL4z0CvFAxyc27GXpf02","Who’s Afraid of Little Old Me?","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","Taylor Swift",2024-04-19,334084,90,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"pop",0.606,0.338,0,-10.555,1,0.048,0.315,0,0.106,0.238,119.88,4
7IWcDWOfiooH5hRs9XOVYz,"06HL4z0CvFAxyc27GXpf02","Fresh Out The Slammer","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","Taylor Swift",2024-04-19,210789,88,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"pop",0.33,0.483,9,-9.394,1,0.0399,0.624,0,0.111,0.34,87.115,4
4QMgEffJQuKtjCNvqfRZ0m,"06HL4z0CvFAxyc27GXpf02","But Daddy I Love Him","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","Taylor Swift",2024-04-19,340428,90,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"pop",0.521,0.72,4,-7.684,1,0.104,0.384,0,0.135,0.438,79.943,4
1kbEbBdEgQdQeLXCJh28pJ,"06HL4z0CvFAxyc27GXpf02","Down Bad","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","Taylor Swift",2024-04-19,261228,91,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"pop",0.541,0.366,11,-10.412,1,0.0748,0.56,0.000001,0.0946,0.168,159.707,4
7uGYWMwRy24dm7RUDDhUlD,"06HL4z0CvFAxyc27GXpf02","My Boy Only Breaks His Favorite Toys","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","Taylor Swift",2024-04-19,203801,90,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"pop",0.596,0.563,0,-7.362,1,0.0269,0.137,0,0.302,0.481,97.073,4
2qSkIjg1o9h3YT9RAgYN75,"74KM79TiuVKeVCqs8QtB0B","Espresso","Espresso","Sabrina Carpenter",2024-04-12,175459,99,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"pop",0.701,0.76,0,-5.478,1,0.0285,0.107,0.0000654,0.185,0.69,103.969,4
2GxrNKugF82CnoRFbQfzPf,"0PCCGZ0wGLizHt2KZ7hhA2","i like the way you kiss me","i like the way you kiss me","Artemas",2024-03-19,142514,100,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"",0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,4
45S0kOHPg4XTbc4FMPpQCm,"6t1gpxYbY8OlLA7D2RiikQ,4kAyoGhVlC6PFg0FvMqmFB","Aftertaste (feat. Morgan St. Jean)","Aftertaste (D.O.D Remix) (feat. Morgan St. Jean)","Loud Luxury,Morgan St. Jean",2020-07-31,197082,38,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"edm,pop dance,uk dance,la pop",0.775,0.867,1,-4.756,1,0.0668,0.135,0.00000782,0.105,0.438,123.017,4
5xblvfji6HaQl7L4OwBMsm,"2fYtH8OoLTeDIicmFH9dNu","Kratos (A Little Closer)","Kratos (A Little Closer)","Alex LeMirage",2023-03-24,150000,62,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"",0.802,0.653,5,-11.19,0,0.151,0.426,0.0255,0.157,0.303,132.04,4
1p0jBDjxORjYNJyAphBRpE,"67MNhiAICFY6Pwc2YxCO0K,0vqJkZ0RpLZixt3lTmD8vP","MONEY ON THE DASH","MONEY ON THE DASH","Elley Duhé,Whethan",2023-01-20,145666,73,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"alt z,electropop,hyperpop,indie electropop,rage rap",0.84,0.667,8,-7.126,1,0.0843,0.0439,0.0000134,0.179,0.292,120.044,4
5hT3U17QZiP74YN9xF32JG,"7vk5e3vY1uw9plTHJAMwjN,1xT5p0VBpnZDrvVSjX9sri,3wE6Lb4RCyPMoXsnXV0ZPC","Better Off (Alone, Pt. III)","Walkerworld","Alan Walker,Dash Berlin,Vikkstar",2023-11-10,151702,64,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"electro house,big room,dutch house,dutch trance,edm,pop dance,progressive house,trance,uplifting trance",0.509,0.691,9,-5.228,0,0.0447,0.0307,0,0.154,0.375,129.822,4
6H0gZ1R4W9tIbb6HVvjNEe,"07YZf4WDAMNwqr4jfgOZ8y","Acapulco","Nu King","Jason Derulo",2024-02-16,139672,67,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"dance pop,pop",0.77,0.799,10,-4.218,1,0.0512,0.0351,0,0.141,0.465,122.091,4
09CnYHiZ5jGT1wr1TXJ9Zt,"73jBynjsVtofjRpdpRAJGk,2o5jDhtHVPhrJdv3cEQ99Z,2mpeljBig2IXLXRAFO9AAs,2rTo8KIkBTFjQS7VvaKYQ4,2HkAI0YrEcgoR8QdaURqhO,4pwXiI7Z5ZStkgKowZyoKi","Thank You (Not So Bad)","Thank You (Not So Bad)","Dimitri Vegas & Like Mike,Tiësto,Dido,W&W,Dimitri Vegas,Like Mike",2023-12-01,140000,87,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"belgian dance,belgian edm,big room,dutch house,edm,electro house,pop dance,progressive electro house,brostep,dutch edm,house,slap house,trance,dance pop,europop,lilith,neo mellow,pop rock,dutch trance",0.673,0.95,11,-5.149,1,0.0488,0.0229,0.0823,0.398,0.563,150.019,4
23RoR84KodL5HWvUTneQ1w,"2mLA48B366zkELXYx7hcDN","(It Goes Like) Nanana - Edit","(It Goes Like) Nanana [Edit]","Peggy Gou",2023-06-15,231545,84,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"electra,float house",0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998,4
0oiv4E896TUTTeQU0cmIui,"3TVXtAsR1Inumwj472S9r4","Massive","Honestly, Nevermind","Drake",2022-06-16,336924,65,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.499,0.671,4,-6.774,0,0.0561,0.114,0.0169,0.148,0.0557,124.994,3
5SFCEkybGYmmzKqewtDEaN,"4XC335ouK6pXyq4QiIb8bP,7CajNmpbOovFoOoasH2HaY","Body Moving","Body Moving","Eliza Rose,Calvin Harris",2023-11-17,154215,72,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"house,dance pop,edm,electro house,pop,pop dance,progressive house,uk dance",0.788,0.906,10,-5.863,0,0.0382,0.0222,0.00283,0.0822,0.811,128.004,4
6ibDVMcMUNqZ5eXT9sD4Vy,"0kmovylAP20DMJhS3BE2CO,6EP96GaItADv1rNqR2oGIR","DNA (Loving You) [feat. Hannah Boleyn]","DNA (Loving You) [feat. Hannah Boleyn]","Billy Gillies,Hannah Boleyn",2023-07-28,164919,76,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"tech trance",0.731,0.867,9,-6.169,0,0.0576,0.0112,0.0291,0.0863,0.23,142.048,4
2H881m3JRA8lpuuwaQL6zy,"7kFfY4UjNdNyaeUgLIEbIF","No Fear","No Fear","DeJ Loaf",2017-06-16,169853,80,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"detroit hip hop,r&b,trap,trap queen",0.614,0.682,11,-4.117,0,0.102,0.387,0,0.134,0.566,100.202,4
3P3pw6C19j31Rnzgo3JG7o,"1HBjj22wzbscIZ9sEb5dyf,4kYGAK2zu9EAomwj3hXkXy","Perfect Strangers","Blue","Jonas Blue,JP Cooper",2018-11-09,196613,76,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"pop,pop dance,tropical house,uk dance,uk pop",0.73,0.861,1,-4.1,1,0.0451,0.39,0,0.213,0.704,117.965,4
6tNgRQ0K2NYZ0Rb9l9DzL8,"1McMsnEElThX1knmY4oliG","obsessed","GUTS (spilled)","Olivia Rodrigo",2024-03-22,170541,88,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"pop",0.68,0.581,8,-5.166,1,0.106,0.0181,0.00000107,0.276,0.63,119.974,4
2tudvzsrR56uom6smgOcSf,"1RyvyyTE3xzB2ZywiAwp0i,0iEtIxbK0KxaSlF7G42ZOp,2YZyLoL8N0Wb9xBt1NhZWg","Like That","WE DON'T TRUST YOU","Future,Metro Boomin,Kendrick Lamar",2024-03-22,267706,96,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"atl hip hop,hip hop,rap,southern hip hop,trap,conscious hip hop,west coast rap",0.814,0.676,11,-4.67,0,0.231,0.00709,0.0000128,0.119,0.312,162.012,4
3lMzT16MjAKKXF7pSZn13B,"4OVbrPbhvK46A1uXTU1u5F","Tell Ur Girlfriend","Tell Ur Girlfriend","Lay Bankz",2024-02-07,124444,91,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:42:15Z,"jersey club",0.866,0.741,7,-4.66,1,0.245,0.0933,0,0.0297,0.614,135.07,4
