Track_Name,Artist_Name
Wobble Up (feat. Nicki Minaj & G-Eazy),"Chris Brown,Nicki Minaj,G-Eazy"
Cigarettes On Patios,BabyJake
do re mi,blackbear
Bubblegum Bitch,MARINA
Shut Down,BLACKPINK
wonder if she loves me,JVKE
Build Me up Buttercup,The Foundations
Uptown Girl,Billy Joel
The Way You Make Me Feel - 2012 Remaster,Michael Jackson
29,Demi Lovato
you broke me first,Tate McRae
Don't,Ed Sheeran
Galway Girl,Ed Sheeran
92 Explorer,Post Malone
London Boy,Taylor Swift
We R Who We R,Kesha
Sledgehammer,Fifth Harmony
Make Me Proud,"Drake,Nicki Minaj"
Letting Go (Dutty Love) featuring Nicki Minaj (feat. Nicki Minaj),"Sean Kingston,Nicki Minaj"
All In My Head (Flex) (feat. Fetty Wap),"Fifth Harmony,Fetty Wap"
Baby I,Ariana Grande
WAP (feat. Megan Thee Stallion),"Cardi B,Megan Thee Stallion"
Fancy,"Iggy Azalea,Charli XCX"
Super Freaky Girl,Nicki Minaj
Miss Americana & The Heartbreak Prince,Taylor Swift
False God,Taylor Swift
Girls Like You,The Attire
...Ready For It?,Taylor Swift
End Game,"Taylor Swift,Ed Sheeran,Future"
Like I Can,Sam Smith
Death By A Thousand Cuts,Taylor Swift
Smooth Criminal - 2012 Remaster,Michael Jackson
You Got The Body,Ne-Yo
Because Of You,Ne-Yo
Time of Our Lives,"Pitbull,Ne-Yo"
I Ain't Worried,OneRepublic
wish u the best (feat. Stalking Gia),"blackbear,Stalking Gia"
Numb,"Marshmello,Khalid"
Telepath,Conan Gray
West Coast (feat. Quinn XCII),"DVBBS,Quinn XCII"
Gorgeous,"Kanye West,Kid Cudi,Raekwon"
POWER,Kanye West
All Of The Lights,Kanye West
Monster,"Kanye West,JAY-Z,Rick Ross,Nicki Minaj,Bon Iver"
Devil In A New Dress,"Kanye West,Rick Ross"
Runaway,"Kanye West,Pusha T"
Blame Game,"Kanye West,John Legend"
Uptown Vibes (feat. Fabolous & Anuel AA),"Meek Mill,Anuel AA,Fabolous"
On Me (feat. Cardi B),"Meek Mill,Cardi B"
Championships,Meek Mill
No Love (with SZA),"Summer Walker,SZA"
Ex For A Reason (with JT from City Girls),"Summer Walker,JT,City Girls"
Thot Shit,Megan Thee Stallion
Crying In The Car,Megan Thee Stallion
queen of broken hearts,blackbear
hot girl bummer,blackbear
I feel bad,blackbear
I felt that,blackbear
shots in the dark (with Trippie Redd),"iann dior,Trippie Redd"
When You Down (with Polo G feat. Lil Durk),"Lil Tecca,Polo G,Lil Durk"
What’s New,Megan Thee Stallion
Going Bad (feat. Drake),"Meek Mill,Drake"
Shots Fired,Megan Thee Stallion
Cry Baby (feat. DaBaby),"Megan Thee Stallion,DaBaby"
Body,Megan Thee Stallion
Ain't Equal,Megan Thee Stallion
Savage,Megan Thee Stallion
Captain Hook,Megan Thee Stallion
B.I.T.C.H.,Megan Thee Stallion
Rich,Megan Thee Stallion
Circles,Megan Thee Stallion
So Sick,Ne-Yo
Almost Slipped,Meek Mill
I Forgot That You Existed,Taylor Swift
Bitches These Days,Olivia O'Brien
rubberband,Tate McRae
Run,BTS
Walk Around,"Double A-Ron,Jdillon"
DRUGS,Tai Verdes
Cigarettes,Juice WRLD
Die Hard,"Kendrick Lamar,Blxst,Amanda Reifer"
NUMB,Chri$tian Gate$
sheluvme,Tai Verdes
Nail Tech,Jack Harlow
Youngblood,5 Seconds of Summer
She's Kinda Hot,5 Seconds of Summer
Don't Stop,5 Seconds of Summer
Handle Me Gently,Ne-Yo
Miss Independent,Ne-Yo
FML,Arizona Zervas
ROXANNE,Arizona Zervas
IDGAF (with blackbear),"BoyWithUke,blackbear"
That's Hilarious,Charlie Puth
Lover,Taylor Swift
The Man,Taylor Swift
what would you do?,Tate McRae
Hey Baby (Drop It to the Floor) (feat. T-Pain),"Pitbull,T-Pain"
I Think He Knows,Taylor Swift
Follow God,Kanye West
Jail,Kanye West
Dangerous (feat. Jeremih and PnB Rock),"Meek Mill,Jeremih,PnB Rock"
Wish You Were Sober,Conan Gray
She Looks So Perfect,5 Seconds of Summer
Thunder,Imagine Dragons
Believer,Imagine Dragons
Whatever It Takes,Imagine Dragons
Demons,Imagine Dragons
Honest (feat. Don Toliver),"Justin Bieber,Don Toliver"
Leray,Trippie Redd
Checkmate,Conan Gray
Don't Love Me,Ne-Yo
After Party,Ne-Yo
Proud of You,Ne-Yo
Enchanted,Taylor Swift
Clean,Taylor Swift
I Know Places,Taylor Swift
Long Live,Taylor Swift
Dear John,Taylor Swift
Fairplay - Remix,"Kiana Ledé,A$AP Ferg"
I'm Good (Blue),"David Guetta,Bebe Rexha"
10:35,"Tiësto,Tate McRae"
I Cannot Be (A Sadder Song) (with Gunna),"Post Malone,Gunna"
The Way I Loved You (Taylor’s Version),Taylor Swift
Forever & Always (Taylor’s Version),Taylor Swift
You Are In Love,Taylor Swift
Holy Ground (Taylor's Version),Taylor Swift
Pointless,Lewis Capaldi
Escapism.,"RAYE,070 Shake"
Speak Now,Taylor Swift
Out Of The Woods,Taylor Swift
Wonderland,Taylor Swift
How You Get The Girl,Taylor Swift
Wicked Games,Kiana Ledé
Non-Stop,"Leslie Odom Jr.,Lin-Manuel Miranda,Renée Elise Goldsberry,Phillipa Soo,Christopher Jackson,Original Broadway Cast of Hamilton"
Shot Clock,Ella Mai
Die For You,Joji
Do It Again,"Pia Mia,Chris Brown,Tyga"
The Story Of Us,Taylor Swift
Back To December,Taylor Swift
Too Well,Reneé Rapp
Better Than Revenge,Taylor Swift
Tití Me Preguntó,Bad Bunny
I Want You Back,The Jackson 5
Lucky You (feat. Joyner Lucas),"Eminem,Joyner Lucas"
Sparks Fly,Taylor Swift
Still into You,Paramore
Blank Space,Taylor Swift
I Wish You Would,Taylor Swift
Haunted,Taylor Swift
EX,Kiana Ledé
Cooped Up / Return Of The Mack,"Post Malone,Mark Morrison,Sickick"
The End,Thomas Day
I Like That,SISTAR
BOSS,"NCT,NCT U"
Hobgoblin,CLC
Hate,4Minute
Lucifer,SHINee
Geronimo,Sheppard
Likey,TWICE
PLAYING WITH FIRE,BLACKPINK
DNA,BTS
Snooze,SZA
Low,SZA
stacy's brother,Mad Tsai
lovebomb,Nessa Barrett
Devil,SUPER JUNIOR
Bartender,Quinn XCII
I Got A Boy,Girls' Generation
Lion Heart,Girls' Generation
Gashina,SUNMI
HER,Block B
Before You,Benson Boone
Hate You,Jordi
Bad Idea,Dove Cameron
Fall In Love Alone,Stacey Ryan
American Teenager,Ethel Cain
Daydreamin',Ariana Grande
"쏘리 쏘리 Sorry, Sorry",SUPER JUNIOR
ever fallen?,Kate Peytavin
View,SHINee
Don't Wanna Cry,SEVENTEEN
Crazy,4Minute
Fantastic Baby,BIGBANG
CALL ME BABY,EXO
Chained Up,VIXX
FAKE LOVE,BTS
What is Love,TWICE
Shine,PENTAGON
Read your Mind,Sabrina Carpenter
More Than You Know,Axwell /\ Ingrosso
Something Big,Shawn Mendes
Maroon,Taylor Swift
Lavender Haze,Taylor Swift
Vigilante Shit,Taylor Swift
Sweet Nothing,Taylor Swift
Glitch,Taylor Swift
Karma,Taylor Swift
Drew Barrymore,SZA
"So Fresh, So Clean",Outkast
Ms. Jackson,Outkast
I Did Something Bad,Taylor Swift
Rich Flex,"Drake,21 Savage"
Hours In Silence,"Drake,21 Savage"
BackOutsideBoyz,Drake
Spin Bout U,"Drake,21 Savage"
In My Feelings,Drake
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift,Lana Del Rey"
Midnight Rain,Taylor Swift
Paris,Taylor Swift
Bejeweled,Taylor Swift
Betty (Get Money),Yung Gravy
Jimmy Cooks (feat. 21 Savage),"Drake,21 Savage"
ghost town,JVKE
golden hour,JVKE
moon and back,JVKE
One Day,Tate McRae
Cruel,Jackson Wang
Nice For What,Drake
Blow,Jackson Wang
Vicious,Sabrina Carpenter
because i liked a boy,Sabrina Carpenter
Nonsense,Sabrina Carpenter
Already Over,Sabrina Carpenter
bet u wanna,Sabrina Carpenter
Champagne Cool,Jackson Wang
Drive It Like You Stole It,Jackson Wang
Tornado Warnings,Sabrina Carpenter
I'm Upset,Drake
Way 2 Sexy (with Future & Young Thug),"Drake,Future,Young Thug"
Been Here All Along,Hannah Montana
pick up the phone,"Young Thug,Travis Scott"
Nightcrawler (feat. Swae Lee & Chief Keef),"Travis Scott,Swae Lee,Chief Keef"
3500 (feat. Future & 2 Chainz),"Travis Scott,Future,2 Chainz"
Apple Pie,Travis Scott
OUT WEST (feat. Young Thug),"JACKBOYS,Travis Scott,Young Thug"
La Bachata,Manuel Turizo
ALIEN SUPERSTAR,Beyoncé
beibs in the trap,Travis Scott
Rare,Selena Gomez
Ring,Selena Gomez
People You Know,Selena Gomez
Dance Again,Selena Gomez
Vulnerable,Selena Gomez
wonder if she loves me,JVKE
Down,"Jay Sean,Lil Wayne"
Wrapped Around Your Finger,Post Malone
Look At Her Now,Selena Gomez
Distraction,Polo G
BUTTERFLY EFFECT,Travis Scott
5% TINT,Travis Scott
Fast Times,Sabrina Carpenter
decode,Sabrina Carpenter
Bad for Business,Sabrina Carpenter
emails i can’t send,Sabrina Carpenter
This Is Why We Can't Have Nice Things,Taylor Swift
Call It What You Want,Taylor Swift
Dress,Taylor Swift
WAKE UP,Travis Scott
Gorgeous,Taylor Swift
My Mind & Me,Selena Gomez
Down In Atlanta,"Pharrell Williams,Travis Scott"
Sue Me,Sabrina Carpenter
Run BTS,BTS
Ainvayi Ainvayi,"Salim–Sulaiman,Salim Merchant,Sunidhi Chauhan,Amitabh Bhattacharya"
No Hands,Waka Flocka Flame
Drip Too Hard (Lil Baby & Gunna),"Lil Baby,Gunna"
Dancing With Our Hands Tied,Taylor Swift
Ghost,Ella Henderson
Fresh Eyes,Andy Grammer
Pretty Girls,iann dior
Maria I'm Drunk (feat. Justin Bieber & Young Thug),"Travis Scott,Justin Bieber,Young Thug"
Want Her,"Mustard,Quavo,YG"
Sandman,A$AP Rocky
Me and My Guitar,A Boogie Wit da Hoodie
Rags2Riches 2 (feat. Lil Baby),"Rod Wave,Lil Baby"
Up All Night,Khalid
Be Like That - feat. Swae Lee & Khalid,"Kane Brown,Swae Lee,Khalid"
@ my worst,blackbear
Bam Bam (feat. Ed Sheeran),"Camila Cabello,Ed Sheeran"
Move On - Bonus,Lil Tjay
Fade Away,"The Kid LAROI,Lil Tjay"
bad vibes forever (feat. PnB Rock & Trippie Redd),"XXXTENTACION,PnB Rock,Trippie Redd"
Love Drugs and Sex,A Boogie Wit da Hoodie
Taking A Walk,Trippie Redd
Light Switch,Charlie Puth
family ties (with Kendrick Lamar),"Baby Keem,Kendrick Lamar"
Mr. Rager,Kid Cudi
Strawberry Skies,Kid Travis
Cherry Wine,grentperez
The Spins,Mac Miller
By Your Side,Rod Wave
They Don't Know About Us,One Direction
Call You Mine,"The Chainsmokers,Bebe Rexha"
Time Flies,Drake
Playing Games (with Bryson Tiller) - Extended Version,"Summer Walker,Bryson Tiller"
Feel No Ways,Drake
u love u (with Tate McRae),"blackbear,Tate McRae"
Cruel Summer,Taylor Swift
The Very First Night (Taylor's Version) (From The Vault),Taylor Swift
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift
I Wonder,Kanye West
Broadway Girls (feat. Morgan Wallen),"Lil Durk,Morgan Wallen"
In My Room,Frank Ocean
Damage,H.E.R.
Crowded Room (feat. 6LACK),"Selena Gomez,6LACK"
New Romantics,Taylor Swift
family ties (with Kendrick Lamar),"Baby Keem,Kendrick Lamar"
in my head,Ariana Grande
The Champion - Bonus Track,"Carrie Underwood,Ludacris"
Tic Tac,"Future,Lil Uzi Vert"
We Don't Luv Em,HoodRich Pablo Juan
Love Letter,Scorey
I Like That,Bazzi
No Love (with SZA & Cardi B) - Extended Version,"Summer Walker,SZA,Cardi B"
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),"Taylor Swift,Chris Stapleton"
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED,Mae Muller,Polo G"
RAPSTAR,Polo G
Pop Out (feat. Lil Tjay),"Polo G,Lil Tjay"
Headshot (feat. Polo G & Fivio Foreign),"Lil Tjay,Polo G,Fivio Foreign"
Falling Down - Bonus Track,"Lil Peep,XXXTENTACION"
Imperfections (Interlude),Pop Smoke
That's What I Like (feat. Gucci Mane),"Bruno Mars,Gucci Mane"
Fell In Luv (feat. Bryson Tiller),"Playboi Carti,Bryson Tiller"
Sunroof,"Nicky Youre,dazy"
Feel Good (feat. Lil Tjay),"Fresco Trey,Lil Tjay"
Babe (Taylor's Version) (From The Vault),Taylor Swift
Lingo,"Deno,J.I the Prince of N.Y,Chunkz"
Jordan Belfort,"Wes Walker,Dyl"
As If It's Your Last,BLACKPINK
Drankin N Smokin,"Future,Lil Uzi Vert"
I Can't Sleep,"Powfu,Sarcastic Sounds"
Fight the Feeling,"Mac Miller,Kendrick Lamar,Iman Omari"
Still Trappin',"Lil Durk,King Von"
Took Her To The O,King Von
slower,Tate McRae
Come Through (feat. Chris Brown),"H.E.R.,Chris Brown"
GO TO HELL,Clinton Kane
i don't want to watch the world end with someone else,Clinton Kane
CHICKEN TENDIES,Clinton Kane
Daddy Issues - Slowed Remix,syre
Opp Stoppa (feat. 21 Savage),"YBN Nahmir,21 Savage"
All I Wanna Do (K) (Feat. Hoody & Loco),"Jay Park,Hoody,Loco"
Scared Money (feat. J. Cole and Moneybagg Yo),"YG,J. Cole,Moneybagg Yo"
So Good (Feat. Common Ground),"Jay Park,Common Ground"
Drown (feat. Clinton Kane),"Martin Garrix,Clinton Kane"
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator,YoungBoy Never Broke Again,Ty Dolla $ign"
Out of Time,The Weeknd
Teenage Fever,Drake
With You,Chris Brown
Love Lockdown,Kanye West
No Air (feat. Chris Brown),"Jordin Sparks,Chris Brown"
Right Above It,"Lil Wayne,Drake"
January 28th,J. Cole
Avalanche,Migos
Leaked,Lil Tjay
Famous,Kanye West
Calling My Phone,"Lil Tjay,6LACK"
Every Summertime,NIKI
Animals,Maroon 5
Never Really Over,Katy Perry
For Tonight,Giveon
Heart Mind,"Kodak Black,Plies"
Champions,"Kanye West,Gucci Mane,Big Sean,2 Chainz,Travis Scott,Yo Gotti,Quavo,Desiigner"
Pop Thieves (Make It Feel Good),"Childish Gambino,Jaden"
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),"T-Pain,Yung Joc"
LOVE. FEAT. ZACARI.,"Kendrick Lamar,Zacari"
Run This Town,"JAY-Z,Rihanna,Kanye West"
Échame La Culpa,"Luis Fonsi,Demi Lovato"
It Wasn't Me,"Shaggy,Rik Rok"
3005,Childish Gambino
Good Life,"Kanye West,T-Pain"
"Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]","Chloe x Halle,Doja Cat,City Girls,Latto"
DEVASTATED,Joey Bada$$
Father Stretch My Hands Pt. 1,Kanye West
I Wonder,Kanye West
Sativa,"Jhené Aiko,Swae Lee"
Sundress,A$AP Rocky
Champion,Kanye West
Good Life,"Kanye West,T-Pain"
Ultralight Beam,Kanye West
Saint Pablo,Kanye West
m y . l i f e (with 21 Savage & Morray),"J. Cole,21 Savage,Morray"
Praise God,Kanye West
Love Sosa,Chief Keef
Still Think About You,A Boogie Wit da Hoodie
Jumpin (feat. Polo G),"NLE Choppa,Polo G"
Losin Control,Russ
All Night,"The Vamps,Matoma"
Rich MF (feat. Polo G & Lil Durk),"Trippie Redd,Polo G,Lil Durk"
I Don't Like,"Chief Keef,Lil Reese"
Runaway Baby,Bruno Mars
Super Gremlin,Kodak Black
Sky,Playboi Carti
Burn,USHER
Smokin Out The Window,"Bruno Mars,Anderson .Paak,Silk Sonic"
Rich Nigga Shit (feat. Young Thug),"21 Savage,Metro Boomin,Young Thug"
Crooked Smile (feat. TLC),"J. Cole,TLC"
Lost,Frank Ocean
"Leave Em Alone (Layton Greene, Lil Baby feat. City Girls, PnB Rock)","Quality Control,Layton Greene,Lil Baby,City Girls,PnB Rock"
Jungle,A Boogie Wit da Hoodie
Pepas,Farruko
High,The Chainsmokers
boyfriend (with Social House),"Ariana Grande,Social House"
Tequila Shots,Kid Cudi
Don't Wanna Fall In Love,KYLE
This Love,Maroon 5
Maps,Maroon 5
Lost,Frank Ocean
"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown) (feat. Pop Smoke)","H.E.R.,A Boogie Wit da Hoodie,Chris Brown,Pop Smoke"
Fine China,"Future,Juice WRLD"
Girl At Home (Taylor's Version),Taylor Swift
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift
Starlight (Taylor's Version),Taylor Swift
Stay Stay Stay (Taylor's Version),Taylor Swift
Run It! (feat. Juelz Santana),"Chris Brown,Juelz Santana"
I Almost Do (Taylor's Version),Taylor Swift
California Love - Original Version,"2Pac,Roger,Dr. Dre"
777,"Bruno Mars,Anderson .Paak,Silk Sonic"
Teenage Dream,Katy Perry
Wonder,Shawn Mendes
Monster (Shawn Mendes & Justin Bieber),"Shawn Mendes,Justin Bieber"
Steal My Girl,One Direction
The One That Got Away,Katy Perry
All Too Well (Taylor's Version),Taylor Swift
Black Porsche,Quinn XCII
Oops (feat. Charlie Puth),"Little Mix,Charlie Puth"
Reggaetón Lento (Remix),"CNCO,Little Mix"
We Don’t Talk Enough (with Alexander 23),"Quinn XCII,Alexander 23"
Dilliwaali Girlfriend,"Pritam,Arijit Singh,Sunidhi Chauhan"
Badtameez Dil,"Pritam,Benny Dayal,Shefali Alvares"
Balam Pichkari,"Pritam,Vishal Dadlani,Shalmali Kholgade"
Gonna Get This,"Hannah Montana,Iyaz"
Ordinary Girl,Hannah Montana
Kiss it Goodbye,Hannah Montana
I'll Always Remember You,Hannah Montana
Need a Little Love,"Hannah Montana,Sheryl Crow"
Are You Ready,Hannah Montana
I'm Still Good,Hannah Montana
Barefoot Cinderella,Hannah Montana
21,Polo G
Flex (feat. Juice WRLD),"Polo G,Juice WRLD"
I Know,Polo G
Light On,Quinn XCII
Eastside (with Halsey & Khalid),"benny blanco,Halsey,Khalid"
Die For Me (feat. Future & Halsey),"Post Malone,Halsey,Future"
me & ur ghost,blackbear
Dua Lipa,Jack Harlow
THRU THE NIGHT (feat. Bryson Tiller),"Jack Harlow,Bryson Tiller"
One Less Lonely Girl,Justin Bieber
Favorite Girl,Justin Bieber
Love Me,Justin Bieber
One Time,Justin Bieber
Eenie Meenie,"Justin Bieber,Sean Kingston"
Go Stupid,"Polo G,Stunna 4 Vegas,NLE Choppa,Mike WiLL Made-It"
That Should Be Me,Justin Bieber
Never Say Never,"Justin Bieber,Jaden"
Paper Rings,Taylor Swift
Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez
Head In The Clouds,"88rising,Joji"
I miss the old u,blackbear
u love u,"blackbear,Tate McRae"
WAIT FOR U (feat. Drake & Tems),"Future,Drake,Tems"
Beauty And A Beat,"Justin Bieber,Nicki Minaj"
Chosen (feat. Ty Dolla $ign),"Blxst,Tyga,Ty Dolla $ign"
Heartless (feat. Mustard),"Polo G,Mustard"
Fight Night,Migos
Cheating on You,Charlie Puth
Light Switch,Charlie Puth
she's all i wanna be,Tate McRae
Die Young (feat. 347aidan),"Sleepy Hallow,347aidan"
In the Ayer (feat. will.I.am),"Flo Rida,will.i.am"
Survivor,Destiny's Child
Break Your Heart,Taio Cruz
There She Goes,"Taio Cruz,Pitbull"
LATATA,(G)I-DLE
double take,Dhruv
I Like Me Better,Lauv
Please Me,"Cardi B,Bruno Mars"
Autopilot,Quinn XCII
i'm so tired...,"Lauv,Troye Sivan"
Phases,PRETTYMUCH
Show Me What You Got,G.R.L.
Rewind,G.R.L.
Ugly Heart,G.R.L.
Bam Bam (feat. Ed Sheeran),"Camila Cabello,Ed Sheeran"
International Love (feat. Chris Brown),"Pitbull,Chris Brown"
Somebody To You,The Vamps
Runaway Baby,Bruno Mars
People Watching,Conan Gray
Girls Like You,The Attire
Always Been You,Quinn XCII
stupid,Tate McRae
Toxic,Polo G
Don’t Blame Me,Taylor Swift
Quiet,Camila Cabello
psychofreak (feat. WILLOW),"Camila Cabello,WILLOW"
Don't Go Yet,Camila Cabello
La Buena Vida,Camila Cabello
Pink + White,Frank Ocean
Winnebago (feat. Quinn XCII & Daniel Wilson),"Gryffin,Quinn XCII,Daniel Wilson"
Worst,Quinn XCII
Liar,Camila Cabello
The Night Is Still Young,Nicki Minaj
Knockin,Freddie Stroma
Maniac,Conan Gray
Me And You,"Coco Jones,Tyler James Williams"
Black Magic,Little Mix
NOT SOBER (feat. Polo G & Stunna Gambino),"The Kid LAROI,Polo G,Stunna Gambino"
You Never Know,BLACKPINK
Forever Young,BLACKPINK
Hot (feat. Gunna),"Young Thug,Gunna"
Bad Bad Bad (feat. Lil Baby),"Young Thug,Lil Baby"
Lately,"Forrest.,Biskwiq,Ryce"
sun and moon,anees
Sunroof,"Nicky Youre,dazy"
MONEY,LISA
First Class,Jack Harlow
It Wasn't Me,"Shaggy,Rik Rok"
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),"T-Pain,Yung Joc"
I Don't Like,"Chief Keef,Lil Reese"
Just That Girl,Drew Seeley
See You Again,Miley Cyrus
Baby,"Justin Bieber,Ludacris"
Relationship (feat. Future),"Young Thug,Future"
Shout Out to My Ex,Little Mix
Touch (feat. Kid Ink),"Little Mix,Kid Ink"
REPEAT IT (with Gunna),"Lil Tecca,Gunna"
Life Goes On (feat. Trippie Redd & Ski Mask The Slump God),"Oliver Tree,Trippie Redd,Ski Mask The Slump God"
SO DONE,The Kid LAROI
Suga Suga,"Baby Bash,Frankie J"
ALWAYS DO,The Kid LAROI
Good Life,"Kanye West,T-Pain"
Element,Pop Smoke
White America,Eminem
Cleanin' Out My Closet,Eminem
Square Dance,Eminem
Say Goodbye Hollywood,Eminem
Without Me,Eminem
Till I Collapse,"Eminem,Nate Dogg"
2055,Sleepy Hallow
Just A Cloud Away,Pharrell Williams
Barso Re,"A.R. Rahman,Shreya Ghoshal,Uday Mazumdar"
Ready (feat. Gunna),"Lil Baby,Gunna"
Thousand Miles,The Kid LAROI
Numb Numb Juice,ScHoolboy Q
Insane,Summer Walker
Mind Is A Prison,Alec Benjamin
Demons,Alec Benjamin
Oh My God,Alec Benjamin
The Book of You & I,Alec Benjamin
Match In The Rain,Alec Benjamin
As It Was,Harry Styles
Jesus in LA,Alec Benjamin
Alamo,Alec Benjamin
Must Have Been The Wind,Alec Benjamin
drunk text me,Lexi Jayde
Happier Than Ever - Edit,Billie Eilish
Bam Bam (feat. Ed Sheeran),"Camila Cabello,Ed Sheeran"
Finesse - Remix; feat. Cardi B,"Bruno Mars,Cardi B"
Don't Run Away,"Tyler James Williams,IM5"
I'm Not A Cynic,Alec Benjamin
Power (feat. Stormzy),"Little Mix,Stormzy"
Clueless (with Pop Smoke & Fivio Foreign),"Polo G,Pop Smoke,Fivio Foreign"
good 4 u,Olivia Rodrigo
Tombé,M. Pokora
Bad Man (Smooth Criminal),Polo G
Martin & Gina,Polo G
Chicago Freestyle (feat. Giveon),"Drake,Giveon"
I WANNA SEE SOME ASS (feat. jetsonmade),"Jack Harlow,jetsonmade"
It's Not so Bad,Dybbukk
MOMMAE (Feat. Ugly Duck),"Jay Park,Ugly Duck"
Girls Want Girls (with Lil Baby),"Drake,Lil Baby"
Die Hard,"Kendrick Lamar,Blxst,Amanda Reifer"
R.I.C.O. (feat. Drake),"Meek Mill,Drake"
Bad for You (feat. Nicki Minaj),"Meek Mill,Nicki Minaj"
Fix It to Break It,Clinton Kane
Come & Go (with Marshmello),"Juice WRLD,Marshmello"
Boyfriend,Dove Cameron
love nwantiti (ah ah ah),CKay
Until I Found You,Stephen Sanchez
Where Are You Now,"Lost Frequencies,Calum Scott"
Let Me Down (with Chelsea Cutler),"Quinn XCII,Chelsea Cutler"
Backpack,Quinn XCII
FOMO (Don't Do Cool Shit),Quinn XCII
If Only I (feat. Bebe Rexha),"Loud Luxury,Two Friends,Bebe Rexha"
Low Life (feat. The Weeknd),"Future,The Weeknd"
ZEZE (feat. Travis Scott & Offset),"Kodak Black,Offset,Travis Scott"
I'm Gonna Show You Crazy,Bebe Rexha
Kiss You,One Direction
I Would,One Direction
Rock Me,One Direction
"C'mon, C'mon",One Direction
Back For You,One Direction
Nobody Compares,One Direction
She's Not Afraid,One Direction
You Proof,Morgan Wallen
Hurt Somebody,"Noah Kahan,Julia Michaels"
Save Me,Noah Kahan
Sink,Noah Kahan
Where You Are - Zedd Remix,"John Summit,HAYLA,Zedd"
Lovin On Me,Jack Harlow
Caught Up (with Olivia O'Brien),"Gryffin,Olivia O'Brien"
Rock Ur World,"Knock2,fussy"
Deserve You,Justin Bieber
Hold On,Justin Bieber
Boots,Kesha
Boogie Feet (feat. Eagles of Death Metal),"Kesha,Eagles Of Death Metal"
Girls in the Hood,Megan Thee Stallion
Don’t Stop (feat. Young Thug),"Megan Thee Stallion,Young Thug"
clown (with Trevor Daniel),"blackbear,Trevor Daniel"
Tidal,Noah Kahan
half alive,blackbear
Summersault,dilip
Little Bit of Time,dilip
Same,dilip
Dreaming,dilip
I Be,Key Glock
Hellcats & Trackhawks,"Only The Family,Lil Durk"
So Far Away (feat. Jamie Scott & Romy Dya),"Martin Garrix,David Guetta,Jamie Scott,Romy Dya"
Be Something,"Polo G,Lil Baby"
As I Am (feat. Khalid),"Justin Bieber,Khalid"
Isabelle,Zach Hood
Sunset Lover,Petit Biscuit
Fell In Love,"Marshmello,Brent Faiyaz"
